adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,revilla_bong,estrada_jinggoy,defensorsantiago_miriam,drilon_frank,enrile_juanponce_sr,cayetano_pia,marcos_ferdinand_jr,recto_ralph,sotto_tito,osmena_serge,lapid_lito,guingona_teofisto_iii,hontiveros_risa,biazon_rozzano_rufino,devenecia_jose_iii,remulla_gilbert_cesar,lim_danilo,roco_sonia,querubin_ariel,pimentel_gwendolyn,acosta_nereus_jr,lacson_alex,tamano_adel,osmena_emiliomario,maza_liza,ocampo_saturnino,tatad_francisco,lozada_jose_apolinario_jr,mitra_ramon,langit_rey,bello_silvestre_iii,lao_yasmin,papin_imelda,ople_susan,bautista_martin,plaza_rodolfo,bautista_jv,guico_ramon_jr,lambino_raul,villanueva_hector,ocampo_ramoncito,inocencio_ma_katherine,palparan_jovito_jr,tinsay_alexander,alonto_zafrullah,tamayo_reginald,espinosa_nanette,maambong_regalado,david_rizalito,albani_shariff,virgines_israel,paredes_zosimo,sison_adrian,imbong_jo_aurea,princesa_reynaldo,nikabulin_adz,caunan_henry,valdehuesa_manuel_jr,tarrazona_hector,rinoza_plazo_maria_gracia,lood_alma
702204000,702200000,700000000,Aloguinsan,Mun,5388,2869,3637,3815,3396,2947,1511,3734,2793,4479,2435,2770,2339,2138,1622,1151,1263,1758,1308,2139,1733,1666,413,2988,932,814,468,861,541,226,663,726,318,295,779,157,502,338,216,407,318,114,156,94,150,187,184,709,390,189,92,78,132,167,59,71,94,67,99,63,54
702205000,702200000,700000000,Argao,Mun,15512,7577,13639,13085,11544,10111,4778,11611,8614,15244,7461,8991,7989,6470,5960,4832,4239,5629,4110,6266,6013,4123,2041,9466,2382,2282,2575,1537,1983,1986,1449,1982,1193,903,2076,428,1447,1378,657,1319,949,434,446,335,505,615,502,2434,1069,548,328,277,428,545,260,293,281,251,168,187,118
702206000,702200000,700000000,Asturias,Mun,7836,3481,5687,5549,4738,4253,1862,5728,3977,8686,3545,3712,3801,3031,2271,1719,1533,2725,1387,2846,3526,2264,737,7203,938,802,758,634,860,521,859,1055,622,546,1206,259,721,638,517,709,530,278,236,289,308,277,308,8892,603,277,200,159,235,321,148,183,117,169,126,119,73
702207000,702200000,700000000,Badian,Mun,6862,4242,5692,4732,4617,4062,2291,5049,4493,6865,3268,3903,3442,2842,2316,1706,1701,2530,1719,3161,2439,2416,788,5011,927,776,819,784,1013,318,510,944,670,438,1031,259,755,472,313,715,468,184,217,171,231,323,320,1176,552,300,173,173,238,299,139,185,166,153,120,107,67
702208000,702200000,700000000,Balamban,Mun,12332,5598,11682,10269,9961,7803,3425,10041,8253,17809,5567,8658,5827,9443,4307,3307,2765,4764,2382,6267,4882,3739,2224,15621,1595,1364,1306,1126,1616,733,3800,1754,823,792,2004,320,1235,4217,507,900,760,346,327,318,384,455,702,6602,943,434,304,266,355,452,182,211,234,187,161,155,110
702209000,702200000,700000000,Bantayan,Mun,12508,7198,8551,8743,8080,6670,4966,8742,7114,11263,5614,5195,5469,4129,3423,3975,2221,4001,2201,4501,4051,3863,1448,8932,1480,1019,1151,1069,1554,615,1045,1317,823,636,1426,260,1110,1558,465,627,613,405,274,389,422,463,403,1020,566,254,319,274,278,278,273,266,164,167,142,99,70
702210000,702200000,700000000,Barili,Mun,15839,8542,11585,10339,11812,10093,5437,10216,9276,13301,7264,7738,6405,6353,5079,3612,3205,4850,3812,6228,4136,3806,2511,8812,1969,1606,1726,2004,1729,665,1018,1485,1132,908,1618,423,1272,1092,455,1274,786,355,372,357,407,689,436,2337,1060,414,251,272,433,717,243,265,285,250,426,208,156
702212000,702200000,700000000,Boljoon,Mun,3100,1836,2737,2298,2349,1811,1158,2131,1786,2919,1180,1561,1389,1548,983,1086,844,1147,836,1408,1136,960,466,1932,428,386,448,322,408,526,238,420,203,219,488,112,289,448,148,272,170,103,75,79,95,129,84,542,202,98,66,48,83,99,48,58,62,46,35,26,28
702213000,702200000,700000000,Borbon,Mun,8249,3484,6974,4554,6662,5906,4150,4634,3590,8710,3095,4955,2846,4118,2219,1537,1201,1904,1212,4079,1713,1719,624,7794,1113,837,834,611,3009,269,496,698,410,363,642,210,497,2062,356,456,376,128,154,91,140,200,225,1142,393,177,118,106,155,182,80,102,106,117,84,71,62
702215000,702200000,700000000,Carmen,Mun,12602,7113,10877,7885,9867,9903,6573,7918,5676,10379,5542,5362,5573,3710,4219,4128,2599,3486,2781,5079,3158,3059,1568,6322,1839,1535,1635,1434,3497,516,719,1406,906,845,1241,420,1040,641,523,918,730,316,325,261,304,466,392,1530,592,296,239,215,289,346,207,222,197,207,182,132,124
702216000,702200000,700000000,Catmon,Mun,6220,3024,5798,4358,5165,4815,2884,4490,2976,6399,2364,3165,3283,2483,2682,1692,1468,2083,1439,3284,1695,1912,670,4403,690,674,1014,739,2320,274,454,727,368,393,852,320,620,409,245,421,330,129,141,85,107,217,214,1306,294,116,105,97,191,154,106,72,77,83,45,59,42
702211000,702200000,700000000,City of Bogo,City,11876,8422,9824,15621,9841,8150,5456,14168,8380,14883,6440,11410,9850,9420,4321,4715,4670,8893,2739,3943,10659,8436,1558,13671,1927,1330,3033,1231,2537,917,1323,5271,699,650,3727,0,1092,2142,909,752,603,380,418,226,323,468,417,1379,778,412,199,221,316,343,194,198,192,153,135,159,102
702214000,702200000,700000000,City of Carcar,City,24023,13972,19394,18037,16936,16029,7933,17422,13668,22689,11586,12267,11635,8658,8563,6862,5392,7783,5059,9710,7492,6029,2506,15198,3152,2586,2963,2396,3175,1215,1927,2375,1608,1430,2663,812,2031,1012,647,1642,1120,527,548,361,540,831,783,3275,1376,512,381,386,614,703,326,273,362,292,326,213,216
730600000,730600000,700000000,City of Cebu,City,186744,126464,196611,223277,158281,169438,97114,182651,144243,249288,91762,155234,160892,127993,83738,78058,83905,115734,61455,86447,112455,84545,39529,152875,37047,29422,35967,23871,38179,16269,20871,44575,11754,19085,48962,0,17332,10289,9328,13316,9182,8777,6927,4891,4184,8462,6666,27119,7468,3890,3969,4273,5256,5368,2917,2572,2286,0,0,3448,0
731100000,731100000,700000000,City of Lapu-Lapu,City,80651,36217,76561,76623,68250,39082,22031,41023,34092,77456,56421,30753,33914,24164,21109,21286,19182,20845,17546,51191,19985,15337,9562,58225,14331,9747,7478,7105,8824,32448,32755,7465,3351,4617,6981,0,5037,32001,29628,3332,3186,2261,1744,1417,1425,2211,2096,6840,1923,1093,1082,1233,1284,2777,885,1030,871,666,603,552,579
731300000,731300000,700000000,City of Mandaue,City,73408,43160,65452,71900,56266,59832,31130,60921,52195,72793,35206,46969,49823,37198,26921,30586,29454,33112,20125,28543,31990,23995,14871,39789,16888,10447,11031,7372,14054,6490,5476,13500,3786,6150,12486,0,5143,4497,3227,4570,3165,2479,1702,1489,1527,2863,1921,13469,3134,1507,1192,1090,1464,1796,977,882,834,745,580,615,392
702234000,702200000,700000000,City of Naga,City,21000,15541,19198,19032,16792,13781,9395,15524,12087,21328,10626,11331,10969,8707,7659,8797,5439,7968,5869,8281,7129,5864,5766,15346,2657,2117,2458,2098,2832,1219,1200,2737,1491,1583,2678,741,1778,877,671,1474,1005,658,506,491,534,912,858,2744,1267,488,449,325,548,539,278,334,277,322,227,230,150
702250000,702200000,700000000,City of Talisay,City,42577,25826,37852,40414,30301,34238,19608,35982,26440,42621,21019,27048,27793,20927,16985,14947,14326,20670,10558,17869,19725,14441,8314,26327,7414,5407,6125,4503,8480,3188,3153,6769,2827,4699,7882,0,3915,1989,1751,2506,1780,1454,1212,888,782,1735,1200,6949,2111,779,836,634,1049,1138,596,524,511,477,478,391,272
702251000,702200000,700000000,City of Toledo,City,31011,16781,26779,26678,24359,26476,15737,24283,18303,34594,15740,18416,16022,19141,11800,9883,8142,14168,6690,17720,11843,9201,4052,21925,4806,3540,4032,3517,4430,3662,4563,4540,2198,2469,4422,0,3059,1881,1604,2496,1623,1025,896,755,898,1427,4283,5958,1940,923,744,688,929,1060,386,592,541,504,521,475,257
702218000,702200000,700000000,Compostela,Mun,9968,7930,8060,6918,8987,6987,4007,6299,4749,8061,4119,4526,4954,3308,5955,2926,4197,2960,2281,4046,2843,2077,1021,4212,1147,968,2874,2956,1733,527,522,1021,395,553,1085,0,2789,461,310,515,371,233,178,174,202,241,299,2662,400,164,152,140,161,213,132,136,128,87,77,63,58
702219000,702200000,700000000,Consolacion,Mun,25249,15949,22923,23499,19948,19589,9320,20815,15852,25998,12788,16012,15690,12050,9754,9055,8490,11354,7289,10371,10384,7442,3841,16417,3741,3308,4467,2889,5109,2152,2206,3402,1684,1958,3332,770,1651,1511,881,1803,1218,950,849,648,573,979,821,7899,1237,452,560,504,675,787,432,396,321,346,287,261,190
702220000,702200000,700000000,Cordova,Mun,11754,8022,9314,9857,8730,8044,5023,8620,7238,10825,6968,6035,6355,5427,4964,3291,3289,4177,2949,5552,3608,3024,1267,6760,2599,1646,1580,1328,1848,767,1315,1328,1048,754,1262,371,832,1250,343,937,678,448,260,362,375,438,393,3408,616,230,291,255,285,480,264,259,174,181,176,132,82
702221000,702200000,700000000,Daanbantayan,Mun,16691,12225,12982,12438,13043,7450,4034,12611,7375,16014,10140,12133,7346,7421,4655,3225,5293,6537,4987,5128,7400,6002,3888,14716,1574,1267,2858,1358,4444,851,2513,3117,1028,682,2836,377,990,918,800,921,697,824,322,246,344,638,480,1826,825,285,275,230,331,374,213,215,185,157,139,114,125
702222000,702200000,700000000,Dalaguete,Mun,12805,6578,10279,8816,8341,7054,3379,8738,6771,12777,5370,6383,6317,4992,4319,4104,2849,4411,2651,5316,4213,3478,1147,9456,1835,1684,1719,1287,1510,754,831,1408,1122,717,1746,461,1078,1248,593,1069,763,406,292,318,428,490,419,2519,820,384,273,255,423,438,250,294,246,256,208,172,124
702223000,702200000,700000000,Danao City,City,34129,16095,27114,25622,25433,24428,19902,18620,13643,23557,11805,13724,13268,9357,8956,8564,6826,8913,5837,15995,8390,7029,3254,14849,3262,2715,3125,2539,10090,1111,6856,3754,1414,1552,3066,616,1809,5178,878,1360,1458,724,554,503,718,795,746,2394,1089,545,500,492,586,637,372,487,339,301,206,242,161
702224000,702200000,700000000,Dumanjug,Mun,11491,5024,7327,6758,6110,6702,3734,6285,5314,8124,5400,5079,4633,3377,2837,3601,1906,3237,3222,4031,3343,2442,2281,5844,1544,1267,1437,1086,1338,484,1105,1024,652,687,1220,373,913,1422,454,785,549,214,218,163,287,506,307,1592,624,295,153,187,233,328,150,174,190,161,124,134,85
702225000,702200000,700000000,Ginatilan,Mun,3506,1447,3015,3043,2240,2129,1024,2753,2006,3600,1616,2241,2115,2224,1274,1154,1002,1748,847,1759,1760,1324,456,2884,514,461,416,396,537,443,413,851,337,273,905,110,453,644,448,305,260,150,142,85,161,178,129,658,300,177,90,109,131,172,83,86,109,97,69,61,47
702227000,702200000,700000000,Liloan,Mun,23478,15221,21248,19711,19778,18825,10347,17838,13900,22172,11099,13585,14035,10081,9130,9228,6617,9102,5920,10600,8086,6092,3403,13296,2948,2365,4254,2456,4070,1700,1422,3361,1173,1628,2952,603,1559,944,771,1331,979,807,546,475,452,738,660,3861,891,362,459,357,580,562,305,286,263,245,207,183,154
702228000,702200000,700000000,Madridejos,Mun,6132,3564,3788,4265,3566,3598,2232,4203,2958,4571,2815,3048,2573,2469,1546,1792,1347,2107,1231,2113,2215,1845,521,3141,647,456,523,551,734,295,469,809,390,292,780,117,441,553,254,374,279,186,121,151,161,188,166,564,334,142,141,111,112,145,99,110,104,83,59,63,51
702229000,702200000,700000000,Malabuyoc,Mun,2654,1261,3285,2386,2044,1812,796,2254,1795,4972,1123,3264,1426,1448,1050,853,724,1216,670,2779,1114,889,341,4293,409,343,287,277,420,161,238,412,235,210,441,103,315,1719,240,262,184,93,82,68,123,178,122,626,254,122,49,73,97,102,57,64,66,38,24,33,34
702232000,702200000,700000000,Minglanilla,Mun,20742,12189,19521,19884,16006,16453,9208,17588,12871,22995,11047,14133,14517,10714,8263,7491,7267,10178,5514,8409,9630,6868,4262,14464,3338,2380,3110,2182,4383,1549,1783,3365,1372,2539,4088,692,2093,960,833,1522,967,777,636,489,465,847,711,4512,1133,419,372,372,665,637,312,294,329,269,239,192,153
702233000,702200000,700000000,Moalboal,Mun,6641,3749,5063,5161,4917,3608,2424,4906,4167,6642,2827,3712,3382,3354,2109,1712,1641,2228,1419,3112,2419,1851,1066,4811,676,545,651,624,808,366,954,880,340,349,863,171,512,844,668,389,271,157,181,103,143,235,187,940,374,156,112,84,167,178,77,76,96,90,78,59,46
702235000,702200000,700000000,Oslob,Mun,5349,2320,4506,3804,3504,3468,1491,3707,2658,5054,1966,3677,2431,2071,1779,1847,1066,1694,1118,3324,1595,1217,892,3396,723,628,712,478,901,406,350,532,366,458,539,124,313,1598,381,327,231,105,118,86,116,202,115,860,223,80,103,86,104,107,82,82,58,58,34,41,41
702236000,702200000,700000000,Pilar,Mun,2445,1303,2003,1385,1512,1644,1082,1393,1239,1484,1086,881,848,769,646,692,464,600,435,950,582,496,264,859,322,269,197,209,385,123,168,181,153,204,246,107,138,98,72,113,108,56,53,57,51,86,54,248,95,47,35,34,42,45,21,28,44,26,23,21,13
702237000,702200000,700000000,Pinamungajan,Mun,10233,6067,6531,9730,7232,6066,3568,8803,5391,10417,5007,7234,5426,5078,3164,3137,2966,4552,2207,4259,6433,4970,1325,6804,1600,1258,1567,965,952,452,594,3351,585,512,3187,218,1346,1910,412,792,593,256,243,190,289,394,507,1292,692,302,187,179,244,323,143,152,147,138,96,119,87
702238000,702200000,700000000,Poro,Mun,5147,1894,4469,2646,3298,3755,3028,2428,2110,3539,1643,1477,1419,1029,1086,1640,703,933,1247,2667,828,680,701,2578,478,428,402,295,1539,249,210,249,177,557,281,102,201,409,104,172,151,81,89,87,52,126,66,383,109,50,71,42,53,72,36,42,32,41,30,32,25
702239000,702200000,700000000,Ronda,Mun,5783,3713,4257,3764,4256,2819,1347,3579,3890,4949,2865,3316,3189,2196,1537,1370,1190,1903,1240,2889,1839,1529,563,3576,626,544,534,516,625,559,490,860,328,336,809,124,399,1542,336,388,254,139,129,99,133,222,133,1032,280,116,84,115,139,172,78,85,105,88,72,66,65
702240000,702200000,700000000,Samboan,Mun,2418,3398,4727,5082,4737,1594,3915,2262,4624,3530,1006,1582,1729,1165,753,927,865,1114,688,4393,994,740,378,4973,298,247,349,228,286,205,239,420,135,152,370,87,152,3444,259,110,94,60,67,46,48,73,106,4010,121,45,53,129,67,70,39,31,29,24,22,16,15
702241000,702200000,700000000,San Fernando,Mun,12497,7098,10748,10528,10615,8755,4908,9430,6828,13776,5843,7293,6986,7122,4186,4303,3274,4823,3962,6809,4749,3769,2294,10048,1900,1429,1394,1337,1679,771,694,2010,772,990,1925,726,1060,856,460,815,577,342,297,246,297,559,411,2013,657,313,236,211,325,356,178,207,178,191,143,139,113
702242000,702200000,700000000,San Francisco,Mun,8897,4419,5426,3975,4948,4793,2744,3738,3596,5341,3093,2612,2202,1794,2232,1565,1322,1661,1855,3459,1610,1399,553,3242,1024,794,508,567,1573,329,522,575,455,387,669,136,451,505,219,336,292,117,127,119,150,174,196,655,276,177,126,102,115,161,74,85,95,76,72,37,47
702243000,702200000,700000000,San Remigio,Mun,10387,6059,7808,9568,7519,6285,3572,9145,7335,10540,5455,7112,5833,4922,3789,2841,3255,4995,2169,3846,5431,4389,974,8722,1334,1113,1453,1094,2150,490,979,1636,807,601,1706,322,910,728,462,944,637,275,312,228,324,360,427,1577,732,321,211,191,315,330,172,194,195,140,123,107,163
702244000,702200000,700000000,Santa Fe,Mun,5032,3160,3189,3057,2909,2533,1594,3139,2496,3082,2596,1960,1809,1613,1364,1265,889,1508,1158,1663,1695,1483,415,2092,790,638,474,487,470,194,277,624,467,207,655,120,430,221,172,403,327,214,118,193,214,231,417,670,283,133,222,147,128,165,119,154,81,94,54,43,34
702245000,702200000,700000000,Santander,Mun,4560,4016,3816,2065,3551,1466,2761,2187,3226,2781,1049,1511,1493,1167,820,801,865,985,524,3983,1067,830,255,3252,286,283,316,272,272,166,153,503,156,117,375,59,158,2359,531,111,118,83,51,55,74,66,49,193,85,38,55,69,60,48,59,44,15,17,20,21,17
702246000,702200000,700000000,Sibonga,Mun,10017,5810,8247,7550,7198,6377,3615,7143,4685,9406,4760,5012,4484,3789,3108,2708,2248,3153,2065,4146,3115,2769,1055,6447,1321,1148,1214,1007,1080,563,559,1110,584,594,1173,372,841,513,376,669,456,222,231,172,233,345,240,1641,548,220,156,132,225,280,147,129,133,133,102,90,102
702247000,702200000,700000000,Sogod,Mun,7016,4570,5034,4137,5411,4686,2803,4221,3176,6035,2970,2721,3001,2121,2089,1518,1354,1733,1321,3211,1582,1589,649,4506,943,648,718,542,1642,240,359,692,354,361,543,141,465,1015,276,384,279,130,159,106,131,211,151,1099,353,142,91,101,129,151,57,102,100,76,60,69,37
702249000,702200000,700000000,Tabuelan,Mun,4587,2431,3225,3175,2931,2634,1253,2897,2436,3894,1994,1970,2012,1486,1448,1263,921,1380,810,1714,1514,1099,487,2960,664,544,605,398,525,236,344,472,372,273,477,139,391,388,229,373,265,117,133,95,165,189,187,752,276,140,120,105,108,142,81,116,88,69,87,64,43
702252000,702200000,700000000,Tuburan,Mun,8798,5458,5724,6629,5805,4828,3428,5903,3907,7676,4324,4063,3957,4255,2378,3328,1849,2887,1257,2702,2980,2716,1677,5676,1244,886,1699,729,753,529,850,1408,498,482,1349,226,749,1676,507,596,533,277,283,221,315,318,295,2304,618,347,210,167,196,251,141,186,154,128,112,95,57
702253000,702200000,700000000,Tudela,Mun,2135,1262,1899,1410,1754,1792,1154,1303,949,1865,821,891,915,669,827,651,477,661,523,1083,559,528,207,1278,261,214,324,278,699,171,230,245,110,163,240,124,229,137,88,116,86,47,31,31,47,82,58,291,92,52,22,32,41,58,23,19,37,16,22,13,14
1204701000,1204700000,1200000000,Alamada,Mun,10560,13173,8961,6759,8001,4678,5044,4445,3136,5282,5737,3522,1817,3489,4537,2209,4205,1974,3921,4139,1520,4204,2114,2290,735,1128,1043,1953,1223,880,1027,836,1535,438,619,0,966,276,257,923,577,168,556,198,840,547,605,268,342,562,213,211,269,218,158,112,174,133,99,77,84
1204717000,1204700000,1200000000,Aleosan,Mun,6936,6936,5214,3908,5426,2874,2541,2584,2017,3154,4161,2877,1123,2521,3182,2236,2437,1140,2413,2410,1032,2065,1463,1274,1266,1268,686,966,785,1306,1516,460,733,392,379,0,487,1089,940,435,451,119,370,152,566,298,350,166,194,538,117,135,139,225,95,78,227,105,68,64,67
1204715000,1204700000,1200000000,Antipas,Mun,6783,8580,6049,4969,5458,3795,3754,3703,2968,3396,3709,3074,1880,2696,2442,1523,2323,1205,2098,1985,1232,2271,1002,1178,1492,1236,596,939,480,251,838,277,549,203,356,585,409,130,115,416,357,114,208,128,108,192,267,142,125,85,103,74,117,76,84,79,97,59,32,43,22
1204718000,1204700000,1200000000,Arakan,Mun,9996,11172,7869,5134,6445,4916,4133,4281,3145,5213,5392,3788,1957,2443,3775,2170,2646,1936,2984,4897,2255,3310,1585,2182,4902,4229,866,1455,1065,406,1585,502,1475,521,813,958,1138,282,260,1023,1123,272,476,285,403,454,799,289,303,264,246,213,246,254,159,195,166,142,104,94,100
1204716000,1204700000,1200000000,Banisilan,Mun,9611,9806,7802,5738,6578,5050,4162,4620,3171,4766,5617,4264,2429,3133,3806,2669,3056,2144,2785,4121,3004,3011,2257,2009,959,1197,866,1476,1279,666,748,1271,1163,467,768,891,884,335,304,718,532,224,305,194,1043,464,573,240,305,652,275,560,230,273,134,143,164,165,94,86,117
1204702000,1204700000,1200000000,Carmen,Mun,12667,12477,9569,6636,9480,5780,5249,5039,4154,6211,8352,4817,2461,3771,5953,4318,4436,2118,4607,4485,2121,3275,3356,2450,1843,2040,1179,2027,1229,1467,2200,1234,1410,462,615,0,1012,1179,1101,854,701,245,567,181,1390,583,523,390,382,971,184,166,234,318,154,162,202,134,115,98,91
1204704000,1204700000,1200000000,City of Kidapawan,City,28655,36692,27428,23580,25106,20143,17175,17968,12840,19639,15141,17954,12399,13446,14113,9447,14219,7178,12175,12286,6814,9536,7299,6547,6046,5508,3911,4727,3425,1544,4719,2113,3186,1429,1957,0,1938,736,714,1453,1624,833,1381,539,755,1043,954,628,443,510,582,416,845,430,341,326,332,206,142,142,143
1204703000,1204700000,1200000000,Kabacan,Mun,16417,16123,15388,10519,13113,10847,14729,7298,6586,9234,10106,7117,4772,5418,8277,6076,8499,3017,9344,5720,2673,4257,5824,2679,2575,2756,2114,2587,1633,1144,1752,2496,1287,938,768,0,801,504,391,953,659,384,1022,220,2024,714,550,399,365,1374,226,195,283,424,171,188,164,159,104,90,146
1204705000,1204700000,1200000000,Libungan,Mun,10837,14453,9807,8188,9706,5695,6016,5482,4283,6767,5674,5110,2583,4205,5455,3110,5917,2475,5347,4211,1933,3989,1498,2657,1468,1598,1400,1926,1661,709,915,605,1431,502,643,0,1041,306,261,840,596,219,602,191,314,367,418,284,302,203,216,224,237,218,146,113,213,120,81,80,71
1204706000,1204700000,1200000000,Magpet,Mun,9999,11186,7301,6494,7166,4703,3707,5584,4105,5313,6138,5660,2979,4511,3932,2236,3380,2042,2342,3362,2979,4047,1879,2319,3581,2980,1036,1400,981,1164,2032,736,1199,469,798,0,943,1936,975,828,1062,244,415,242,258,415,537,272,306,248,181,172,291,224,177,171,170,135,108,100,76
1204707000,1204700000,1200000000,Makilala,Mun,18921,21461,16084,13477,15363,11905,7897,11026,7402,12921,10771,10295,6640,7536,9114,5594,8151,4705,7170,7710,4262,5644,3424,4782,5094,4584,2568,2962,2072,1159,2913,1545,1927,849,1309,0,1424,759,603,1168,1350,385,777,301,540,779,779,430,399,429,270,275,457,283,276,175,233,153,121,103,107
1204708000,1204700000,1200000000,Matalam,Mun,17170,20311,15038,10623,13133,9691,9877,8020,6204,9485,9928,6952,3897,5311,7343,4543,6694,3069,6525,6095,2951,5394,2945,3480,3760,3364,1597,2688,1602,1046,1455,1099,1822,722,1043,0,1464,528,454,1125,1044,328,1855,476,714,650,884,445,394,566,263,284,387,891,219,184,324,158,142,122,93
1204709000,1204700000,1200000000,Midsayap,Mun,25288,31123,24613,19660,22746,16121,15665,13537,10274,17091,14692,12104,8356,8952,12519,8682,15232,5824,14311,9484,5200,7416,8198,5734,5431,5407,3620,4470,2854,2033,2358,2432,2197,1417,1353,0,1584,676,544,1422,1515,488,1484,498,1818,1035,757,492,556,1400,495,359,471,436,421,264,268,202,158,156,152
1204710000,1204700000,1200000000,M'Lang,Mun,17986,23571,18343,16346,15836,12083,9222,11183,7563,12415,9484,10543,8503,8723,8997,5842,11514,4994,8409,7049,6633,7421,4250,3990,2440,2699,2064,3024,2112,1223,2777,2385,1381,800,1327,0,1320,573,472,966,945,590,909,344,680,599,597,336,405,457,386,275,315,315,240,205,201,117,83,74,87
1204711000,1204700000,1200000000,Pigkawayan,Mun,11959,14463,11305,9346,10448,6697,6315,5661,4959,7055,5808,6062,3815,4686,5890,3467,6860,2509,6804,4344,2051,3829,2708,2296,1364,1542,1637,2373,1412,1071,916,1052,1193,686,810,0,998,211,217,648,566,219,1223,265,999,449,344,265,250,691,402,210,173,229,183,161,149,100,74,72,59
1204712000,1204700000,1200000000,Pikit,Mun,14946,9015,9149,5467,7039,5668,5091,5150,3851,5275,8305,3855,2744,3015,3996,3169,3824,1947,3966,3314,1969,2531,5914,2014,3703,2774,1034,1564,994,822,1178,2641,885,540,701,860,823,297,367,808,932,279,481,238,3890,684,474,327,422,2520,342,195,228,403,160,452,153,183,127,103,110
1204713000,1204700000,1200000000,President Roxas,Mun,10698,11984,9170,6999,7940,6122,5391,5604,4328,5733,6152,4772,2729,3797,3876,2509,3144,1928,3106,3901,1932,3331,1985,2381,3594,2927,1075,1376,1083,521,1195,559,1209,455,683,883,844,386,227,691,841,223,444,196,331,512,538,246,257,309,195,164,213,227,158,120,184,112,100,65,80
1204714000,1204700000,1200000000,Tulunan,Mun,11933,13368,11479,8129,8408,7522,4946,6648,4150,6634,6481,6652,3821,4251,4910,3337,5046,2571,5336,4193,2029,3591,1869,2198,2687,2496,1106,1703,1062,555,838,787,1112,512,683,984,801,301,216,705,615,242,628,196,315,379,424,341,291,203,169,174,196,332,142,115,162,104,99,62,71
1108201000,1108200000,1100000000,Compostela,Mun,17817,20138,16695,13443,15191,11927,10392,11935,9463,11935,11756,8741,5949,7487,7683,5191,5533,4913,4268,7610,4674,3908,2759,4520,5587,4870,2506,2660,2013,778,2905,1038,1716,1130,1021,0,1146,341,394,1573,1336,585,603,487,436,822,679,344,417,278,488,373,439,865,276,237,237,174,162,153,151
1108202000,1108200000,1100000000,Laak,Mun,14263,12336,9457,7009,8471,6589,4904,6093,4909,6669,8662,5411,2518,3957,4094,2567,2645,2642,2421,6558,3170,3538,2490,3444,2777,2474,1000,1480,1678,856,6038,824,1336,677,1038,0,1311,2080,629,1107,1118,290,426,317,550,821,565,377,502,451,323,360,419,396,212,224,255,186,144,155,107
1108203000,1108200000,1100000000,Mabini,Mun,6152,7266,5099,3834,4677,3469,3237,3193,2505,3784,3416,2669,2134,1940,2357,1752,2182,1593,2791,2561,1611,1618,1241,1641,1444,1177,609,851,690,334,899,541,628,351,471,645,471,153,167,490,446,165,290,142,243,287,195,175,166,281,143,112,152,210,104,112,61,69,54,46,48
1108204000,1108200000,1100000000,Maco,Mun,15286,17449,13049,11256,12284,9677,7456,9016,7108,10119,9235,8113,5658,6324,6576,4518,4932,4561,4669,7142,4248,4677,2566,4418,4307,3713,1995,2640,2030,1040,2465,1186,1347,1114,1134,0,1315,665,482,1219,1174,380,699,306,467,767,620,402,406,434,299,277,467,431,207,208,240,149,167,140,141
1108205000,1108200000,1100000000,Maragusan,Mun,11501,11604,7816,6092,6836,5427,4829,5703,5198,5372,9327,4089,2344,3519,3688,2064,1898,2339,1807,4173,2506,2373,1080,2617,3011,2315,989,1426,1041,360,1022,533,1155,515,714,886,903,237,222,1183,873,295,415,295,328,448,423,166,339,259,292,224,334,265,162,195,141,128,115,85,94
1108206000,1108200000,1100000000,Mawab,Mun,7098,8785,6736,5572,6346,4839,4617,4405,3188,4915,3719,3695,2928,3035,3284,2353,2673,2209,2686,3456,2137,1920,1226,1890,2218,1798,964,1207,876,407,1189,491,605,534,530,0,607,180,147,489,580,240,282,188,203,338,238,137,185,136,188,124,197,137,95,111,89,102,62,56,58
1108207000,1108200000,1100000000,Monkayo,Mun,16870,17899,13652,11065,12639,9696,8494,9575,7682,9764,10778,8072,5649,6585,6495,4303,4522,4119,3887,6536,4449,3745,2361,4501,4697,3725,1657,2301,1798,716,2243,994,1728,1053,1234,0,1459,471,421,1474,1361,527,867,383,537,827,664,406,546,444,397,414,478,430,303,294,249,226,159,160,141
1108208000,1108200000,1100000000,Montevista,Mun,7966,7373,6355,4991,5178,3987,3784,4502,3426,4070,5221,2995,2136,3133,2684,1665,1611,1665,1393,2788,2690,1587,974,1802,1986,1663,682,854,817,318,1873,399,642,421,545,0,617,201,208,568,560,180,240,145,218,321,250,121,238,176,172,148,167,308,115,102,88,89,58,54,46
1108209000,1108200000,1100000000,Nabunturan,Mun,16053,17235,14368,12509,13585,10705,9115,10279,8392,10046,10434,8535,5159,7684,7825,4524,4736,3881,3802,7749,3849,3956,2524,3835,3239,3067,2185,2087,1980,982,3378,890,1179,1252,1036,0,1051,722,629,947,1129,378,676,379,371,738,480,307,361,288,244,270,339,381,189,183,219,155,99,97,84
