adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,angara_edgardo,aquino_noynoy,arroyo_joker,bautista_martin,cantal_felix,cayetano_alanpeter,cayetano_joselito,chavez_melchor,coseteng_nikki,defensor_mike,enciso_ruben,escudero_chiz,estrella_antonio,gomez_richard,honasan_gringo,kiram_jamalul,lacson_ping,legarda_loren,lozano_oliver,magsaysay_vic,montano_cesar,oreta_tessie,orpilla_ed,osmena_john,pangilinan_kiko,paredes_zosimo,pichay_prospero,pimentel_koko,recto_ralph,roco_sonia,singson_chavit,sison_adrian,sotto_tito,trillanes_antonio_iv,villar_manny,wood_victor,zubiri_migz
1600201000,1600200000,1600000000,Buenavista,Mun,8392,7696,6773,490,132,5183,415,934,1922,7758,141,9768,223,977,6822,1666,7689,10562,386,8011,7912,3025,112,4638,9889,553,9866,8416,6663,2983,2520,181,4575,5312,8009,299,9376
1600204000,1600200000,1600000000,Carmen,Mun,3902,1805,3487,87,41,1094,94,330,561,3441,19,2415,41,383,1601,1437,1635,2319,54,3888,3893,2191,10,1307,2369,83,4805,2150,2968,572,1951,12,2017,1083,2672,61,3928
1630400000,1630400000,1600000000,City of Butuan,City,38606,42999,35718,2378,510,31571,2211,3823,11104,34651,518,52969,865,5376,32288,6459,41450,50070,1112,30656,28698,12523,279,22881,50385,2588,47210,38556,37649,18549,12123,1013,18572,29623,42041,870,42596
1600205000,1600200000,1600000000,Jabonga,Mun,2869,2093,2314,109,29,1403,108,277,958,4187,90,3436,68,373,2504,835,2115,4020,92,4758,5085,1386,24,1302,2839,107,3714,3212,2336,863,2641,35,1604,1345,2408,71,4645
1600206000,1600200000,1600000000,Kitcharao,Mun,2536,2134,1922,102,34,1650,153,310,521,3324,32,3426,82,429,1959,412,2109,3195,77,3041,3460,947,14,1281,2771,140,3426,2471,2001,895,1663,26,1220,1267,2113,40,3369
1600207000,1600200000,1600000000,Las Nieves,Mun,2627,1877,2194,200,39,1190,124,410,361,3358,104,2675,108,355,1799,734,1800,3137,70,3729,3890,1169,18,1566,2480,252,3593,2910,1773,746,1927,84,1092,1244,1834,63,3461
1600208000,1600200000,1600000000,Magallanes,Mun,3747,4400,3063,146,51,3088,285,524,1179,3513,66,5438,103,591,3488,675,4124,5477,139,3222,3498,1000,27,2487,4766,144,5537,4522,2884,1668,1218,40,1647,3092,3957,136,4468
1600209000,1600200000,1600000000,Nasipit,Mun,7398,7270,6152,457,74,5552,404,660,2184,5857,60,8793,248,981,6014,1521,6625,8653,150,7712,5851,2648,52,4491,8528,584,7039,6940,5139,3069,1799,178,2484,5157,7501,192,6962
1600212000,1600200000,1600000000,Remedios T. Romualdez,Mun,2627,2364,1994,137,55,1532,153,381,564,2123,45,2752,68,461,1923,372,2109,2624,133,2906,2110,1215,21,1411,2521,139,3389,2164,1448,769,718,27,1011,1427,2536,29,2516
1600210000,1600200000,1600000000,Santiago,Mun,2395,1750,2096,157,31,1131,58,191,779,2044,21,2158,57,470,1444,1101,1792,2048,69,1920,2651,1297,9,1117,2359,181,3308,1722,1962,866,961,16,1397,1307,1854,143,2396
1600211000,1600200000,1600000000,Tubay,Mun,2987,1775,2434,88,116,1484,101,234,903,2354,115,2293,72,361,1657,1290,1887,2551,92,3978,2843,1548,44,1159,2322,207,3498,1685,2272,710,1140,61,1692,1351,1619,106,2560
1600302000,1600300000,1600000000,Bunawan,Mun,4373,3312,3465,255,57,2037,196,414,725,3421,37,4412,78,530,2349,682,3263,3524,105,2973,3751,1657,28,2026,3898,455,4476,3089,3247,1307,1382,50,1953,2057,2995,60,4031
1600303000,1600300000,1600000000,Esperanza,Mun,5884,3594,4920,319,135,2682,274,719,1214,5016,79,5781,173,717,2728,1735,3844,4629,186,4349,5798,3240,49,2617,4174,609,7661,4000,4574,1647,3181,46,2944,3025,3798,129,5507
1600304000,1600300000,1600000000,La Paz,Mun,1890,1256,1591,169,68,972,156,334,309,1626,66,1513,66,462,949,742,1369,1442,101,1501,2043,912,28,1007,1203,258,2184,1280,1182,576,866,82,873,956,916,51,1844
1600306000,1600300000,1600000000,Prosperidad,Mun,1440,1232,1245,92,24,974,74,164,271,1103,21,1615,48,183,863,180,1346,1694,52,1145,1442,504,8,993,1744,176,1658,1326,1095,783,553,21,506,1166,1423,39,1703
1600307000,1600300000,1600000000,Rosario,Mun,4429,4009,3302,227,69,3134,319,608,968,3775,61,5206,189,739,3619,702,4472,5603,143,2950,4111,1566,30,2411,4645,505,4667,3454,3024,1673,1049,47,1867,3134,3695,112,4448
1600308000,1600300000,1600000000,San Francisco,Mun,9114,8612,7146,504,162,6844,723,1159,2045,7459,94,11761,320,1307,7944,1121,10153,10549,255,5079,7841,2584,55,4857,10514,925,7230,8228,6160,4263,1877,139,3215,6929,8104,140,9548
1600309000,1600300000,1600000000,San Luis,Mun,3143,1995,2699,207,89,1596,194,457,519,2801,63,3007,116,553,1584,957,2241,2662,120,2635,3136,1403,56,1246,2709,394,3185,2373,1557,917,1093,43,1470,1491,2163,167,3055
1600310000,1600300000,1600000000,Santa Josefa,Mun,3244,3467,2240,206,70,2471,272,541,785,2700,53,3851,170,938,3101,414,3712,4216,156,2283,3126,1163,25,2125,3987,477,3767,2723,1788,1285,609,37,849,2139,2824,93,2862
1600314000,1600300000,1600000000,Sibagat,Mun,2492,1947,1930,197,45,1203,139,259,455,1839,30,2273,42,313,1390,507,1812,2074,68,1816,2314,921,21,1350,2360,317,3014,2170,1786,777,769,26,988,1144,1796,44,2234
1600311000,1600300000,1600000000,Talacogon,Mun,3827,3209,3102,237,79,2514,259,601,815,3180,53,4290,99,603,2459,398,3480,4302,150,2628,3545,1270,48,1993,4108,526,3801,2966,2207,1610,874,73,1020,2629,3586,98,3613
1600312000,1600300000,1600000000,Trento,Mun,1793,977,1143,116,42,822,71,196,274,1244,81,1571,64,414,918,218,1224,1320,94,1229,1814,354,29,738,1211,193,1393,1357,1040,480,578,19,844,779,871,59,1463
1600313000,1600300000,1600000000,Veruela,Mun,5052,3234,3286,337,86,1944,347,838,529,3928,77,5443,132,741,2015,493,3492,4859,243,2878,3999,1760,61,1925,3916,704,4932,3529,3358,1179,1903,90,2343,1567,3088,90,4298
600401000,600400000,600000000,Altavas,Mun,4138,4245,3329,212,27,2793,130,445,1434,2705,27,5949,109,598,3029,472,4167,5045,43,1943,2351,1984,10,2012,4648,84,3045,2713,3121,1925,1733,43,1992,2778,4846,31,2870
600402000,600400000,600000000,Balete,Mun,3296,3226,2232,138,55,2698,163,364,1516,1778,28,3997,95,576,2835,307,3419,4515,73,1611,1505,1197,84,1550,3992,96,1973,2491,2331,1327,407,35,1525,2153,6588,30,2275
600404000,600400000,600000000,Batan,Mun,3349,5201,4113,284,31,4698,263,429,2613,3678,86,8052,117,767,5231,250,6024,7116,176,3444,2051,2250,104,3459,5449,139,3556,4119,2675,3153,622,101,1581,3986,6676,42,2600
600405000,600400000,600000000,Buruanga,Mun,1992,2367,1312,117,70,1868,171,207,1234,1276,76,2848,140,666,2183,309,2572,3311,69,1054,1852,1098,17,1342,1968,93,1537,1714,1470,1338,1595,49,1300,2777,2519,154,1226
600406000,600400000,600000000,Ibajay,Mun,6147,5974,4299,277,80,5433,226,527,3393,3871,28,8386,182,1473,4634,924,7413,9531,89,3145,3787,2767,25,3259,6730,260,4243,4540,4823,2736,1355,90,4357,5090,6335,78,4718
600407000,600400000,600000000,Kalibo,Mun,10830,12527,8988,535,53,11197,320,669,4725,6711,30,14904,247,1376,9250,1057,11525,15233,272,4475,4556,2910,41,5999,13456,457,9259,8079,7954,6518,2026,323,4091,9489,13899,91,8821
600409000,600400000,600000000,Libacao,Mun,2961,2433,2227,75,25,1812,89,535,867,2207,105,3413,95,458,1953,446,2471,3455,62,1635,2136,1168,53,1164,2734,109,3327,1436,2142,1053,2323,57,1486,2136,3187,109,3740
600410000,600400000,600000000,Madalag,Mun,2557,2173,1796,109,24,1539,100,278,703,1614,19,2455,58,431,1494,400,1689,3575,87,1306,1759,1174,14,953,2574,34,1716,1348,1685,787,723,16,1300,1276,2742,23,1810
