adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,angara_edgardo,aquino_noynoy,arroyo_joker,bautista_martin,cantal_felix,cayetano_alanpeter,cayetano_joselito,chavez_melchor,coseteng_nikki,defensor_mike,enciso_ruben,escudero_chiz,estrella_antonio,gomez_richard,honasan_gringo,kiram_jamalul,lacson_ping,legarda_loren,lozano_oliver,magsaysay_vic,montano_cesar,oreta_tessie,orpilla_ed,osmena_john,pangilinan_kiko,paredes_zosimo,pichay_prospero,pimentel_koko,recto_ralph,roco_sonia,singson_chavit,sison_adrian,sotto_tito,trillanes_antonio_iv,villar_manny,wood_victor,zubiri_migz
1001318000,1001300000,1000000000,San Fernando,Mun,3394,404,2531,181,35,3434,292,338,607,3220,66,5776,123,465,4385,769,5270,5774,763,2557,3399,1397,531,2739,3520,1073,3531,5123,3348,1359,843,145,1454,3373,5806,72,13402
1001319000,1001300000,1000000000,Sumilao,Mun,2195,2588,1791,156,25,2118,145,193,540,1827,23,3588,65,483,2505,383,2983,3792,76,1402,2280,710,12,1525,2797,110,4271,3084,1590,1622,370,74,1104,2888,2915,303,6180
1001320000,1001300000,1000000000,Talakag,Mun,1274,1794,1377,89,8,1705,75,56,323,1108,4,2559,25,157,1561,163,2112,2105,23,540,872,254,5,910,2282,84,999,1647,1344,954,253,67,432,1787,2206,32,2817
301401000,301400000,300000000,Angat,Mun,7508,12326,7486,377,126,10025,189,217,5893,5420,18,15784,88,2744,7629,1060,13928,15600,114,3296,3854,3095,91,5999,10740,436,4916,8979,7462,8851,1784,201,7966,9857,12881,111,6491
301402000,301400000,300000000,Balagtas,Mun,9904,14932,9493,491,80,13572,265,237,7667,6503,63,19238,130,4695,10436,962,16294,18208,179,4107,4860,3012,71,6653,12878,669,5796,11378,8569,10031,1925,340,8877,11525,14540,399,7552
301404000,301400000,300000000,Bocaue,Mun,14280,24324,15945,1054,86,20767,722,600,9823,9614,179,30149,233,7282,17471,1643,25719,27433,319,6113,7520,4195,104,9446,22079,1174,9598,16129,12703,16437,2754,581,11960,15934,23396,571,10364
301405000,301400000,300000000,Bulacan,Mun,1738,2639,1747,85,5,2274,89,35,1229,1157,2,3651,26,678,1978,143,3122,3356,27,648,372,524,6,1123,2521,114,920,1889,1638,2428,315,56,1866,2166,2711,39,1409
301406000,301400000,300000000,Bustos,Mun,6413,12424,5982,535,84,11965,243,208,6514,4211,107,17112,217,3315,10465,619,15280,15951,370,2674,3764,2130,60,6006,10038,428,3901,10113,6164,9515,1084,322,6442,11476,12851,421,4865
301407000,301400000,300000000,Calumpit,Mun,5285,6998,5303,218,31,6730,80,119,2994,3654,34,9792,55,1182,5134,619,8223,9535,79,2140,3229,1789,39,3054,8348,287,5282,4961,4770,4609,1625,168,5189,5855,8324,81,4497
301410000,301400000,300000000,City of Malolos,City,23873,38899,25157,2671,231,34682,947,755,16998,14425,680,49827,467,9473,27489,2846,42941,45362,1026,7861,8588,6159,463,17325,33725,3024,12935,29252,20617,26269,4111,2096,20325,32341,37905,849,17971
301420000,301400000,300000000,City of San Jose Del Monte,City,7775,11982,8155,495,281,11068,248,347,5201,5657,149,15818,217,2965,10596,1101,14590,14353,277,3338,3355,2210,330,5086,10467,770,4648,8590,7275,7909,1567,327,6846,10228,12752,137,7005
301424000,301400000,300000000,Do? Remedios Trinidad,Mun,1659,1966,1189,38,10,1917,65,78,885,909,5,2779,36,558,1936,192,2428,3244,55,877,1214,662,26,1170,2057,107,1090,1519,1275,1325,239,31,1461,1674,1896,31,1001
301408000,301400000,300000000,Guiguinto,Mun,11114,20052,11893,965,144,17401,607,478,10218,7709,346,25982,382,5004,14745,1431,23103,25342,576,3960,4821,3067,276,9194,16814,1270,7238,14866,10469,14130,3072,638,9721,16545,19581,913,8899
301411000,301400000,300000000,Marilao,Mun,6585,9548,6779,453,50,8789,225,341,4155,4760,48,12029,165,2288,6976,935,10586,13282,163,3010,3426,2241,72,4333,9236,387,4105,6859,6246,5855,1516,309,5441,7003,9595,106,5344
301414000,301400000,300000000,Obando,Mun,7091,11729,8343,760,135,10554,283,318,5420,5582,243,15090,263,3541,7039,1153,13134,14004,246,2955,3814,2504,163,4772,10467,760,4785,8602,7432,8868,1757,516,7270,8784,13367,204,6362
301415000,301400000,300000000,Pandi,Mun,3617,6326,3407,140,76,5345,93,67,3232,2694,6,8674,86,1576,4410,173,7163,8350,62,1012,3121,1104,35,2904,5479,245,2258,4512,3473,4564,586,96,3381,5339,7431,184,3165
301416000,301400000,300000000,Paombong,Mun,8725,10446,10343,342,28,10132,401,436,4287,9155,158,13803,113,2724,8379,1487,10961,12714,228,6584,4791,2839,174,4205,12635,616,8553,3051,9326,6148,5307,366,6460,1949,7360,83,8150
301417000,301400000,300000000,Plaridel,Mun,4132,6367,3972,272,19,5531,154,177,3172,2956,275,7858,104,1958,4576,567,7213,8634,109,1737,1829,1187,73,3016,5719,368,2451,4648,3570,4118,647,205,3575,6110,5962,293,2912
301418000,301400000,300000000,Pulilan,Mun,3222,5382,2997,216,51,4185,330,224,2516,1621,244,7420,151,1378,3824,656,3929,7200,551,1316,1573,895,328,2750,4475,745,2442,3692,2963,3456,677,415,3347,4711,4592,72,2504
301419000,301400000,300000000,San Ildefonso,Mun,11778,21255,9868,569,172,18438,514,558,12306,8009,278,29031,438,7057,15682,1288,28504,28742,352,4503,5643,3640,183,12529,16878,553,7236,17147,11212,15153,1821,373,11444,19966,22369,238,9387
301421000,301400000,300000000,San Miguel,Mun,3033,5764,2646,130,11,5767,158,31,3262,2161,40,8685,183,1342,4727,314,10388,8597,37,1091,1622,1043,133,3110,4872,72,1844,4555,3351,4705,610,54,3803,6149,7105,49,2571
301422000,301400000,300000000,San Rafael,Mun,11509,20792,10433,637,80,18524,326,482,10515,7659,1104,24308,720,11782,10630,2545,22629,24055,633,4933,5950,3685,598,10872,12999,895,7662,15301,11152,13717,2895,785,11086,17466,21065,287,9156
301423000,301400000,300000000,Santa Maria,Mun,21874,31072,20418,1193,96,26799,1020,659,15311,13063,96,38601,413,6133,19912,3251,33378,37050,435,11705,9727,6290,256,12317,26010,1242,11874,22846,17436,18735,4125,615,17267,22442,30790,318,16077
201501000,201500000,200000000,Abulug,Mun,4929,2001,4066,79,12,2024,119,172,692,4289,13,3644,57,444,2666,1713,3379,4025,99,3121,3830,2755,61,1200,2399,232,3623,1884,3753,955,3472,174,3639,1951,2479,79,3285
201502000,201500000,200000000,Alcala,Mun,5312,3296,4349,216,48,3377,251,265,866,4091,72,4982,167,478,4917,346,4779,6241,94,2449,2743,2604,141,1787,4370,109,4157,2870,3728,1266,2784,44,3104,2989,4791,48,4025
201503000,201500000,200000000,Allacapan,Mun,4607,2268,3568,168,50,2200,204,302,860,3724,56,3961,159,628,3475,649,4045,5486,81,2491,3481,2043,76,1837,3175,141,3420,2582,3217,1330,2980,87,3428,1888,3672,74,2712
201504000,201500000,200000000,Amulung,Mun,6482,5107,4538,306,60,5125,210,475,1490,4754,39,6942,130,931,6126,453,6635,8062,379,2910,4487,2574,156,2903,6057,132,5450,4412,3670,1951,2977,49,2787,4207,6956,104,3560
201505000,201500000,200000000,Aparri,Mun,6408,4793,4719,279,25,5548,186,264,2172,4497,24,8662,87,1692,7359,376,8350,10200,97,2190,2848,2124,29,2777,6098,194,4893,5072,4845,2838,2271,88,5550,4705,7041,71,3531
201506000,201500000,200000000,Baggao,Mun,8422,5025,6164,459,96,5659,290,777,1418,6133,76,8595,221,1099,7207,349,7808,10131,349,3870,5038,2876,226,3603,6827,305,6054,5427,4925,2157,3321,90,4101,3933,7525,184,4462
201507000,201500000,200000000,Ballesteros,Mun,4618,3088,3593,213,34,3456,109,329,1297,3136,29,5248,147,934,4748,451,5466,6524,112,1049,3119,1876,36,2144,4311,138,3307,3240,3263,1908,3440,73,3261,3325,4200,94,2760
201508000,201500000,200000000,Buguey,Mun,3637,1820,2724,112,28,1780,151,235,676,2813,22,3517,76,888,3172,359,3093,4155,71,1818,2321,1482,25,1287,2698,147,3403,2214,2833,891,2488,23,2497,1719,3441,51,2099
201510000,201500000,200000000,Camalaniugan,Mun,3284,2621,2581,108,21,2866,216,241,1084,2445,46,4704,53,730,4058,256,4394,5377,70,1390,1983,1141,15,1556,3284,92,3187,2231,2535,1293,1713,38,2375,3548,3685,64,1768
201511000,201500000,200000000,Claveria,Mun,5937,3821,4191,256,55,3993,358,380,1922,4267,179,6893,211,1156,5297,810,7180,8329,294,2495,3203,1939,164,2630,5930,346,4077,3924,4833,1865,2903,141,3355,4411,5573,158,3242
201512000,201500000,200000000,Enrile,Mun,4300,4598,3848,151,88,5288,119,221,1474,3358,124,7475,46,675,6640,201,7494,8208,168,1192,1644,1172,73,2226,4964,300,4204,3789,3284,2153,820,99,1925,4142,5949,66,2702
201513000,201500000,200000000,Gattaran,Mun,7924,4168,6012,280,54,4391,345,459,1667,6136,43,7281,172,1049,7363,683,7888,9168,200,3860,4343,3234,275,3110,5581,187,5622,4515,5174,2042,4340,91,4800,3964,7338,80,4127
201514000,201500000,200000000,Gonzaga,Mun,3654,1784,2397,120,43,1891,160,292,597,2808,14,3496,170,778,3546,184,3402,4412,95,1423,2251,1014,29,1215,2879,107,2398,1778,2393,802,2012,43,2301,1566,2926,92,1770
201515000,201500000,200000000,Iguig,Mun,3135,3181,2548,104,67,3615,134,187,1206,2285,12,5113,42,651,4059,295,4685,5552,104,1275,1693,1119,27,1785,3339,69,2716,2859,2065,1523,1186,25,2112,3058,3905,97,1934
201516000,201500000,200000000,Lal-Lo,Mun,6072,3375,4399,261,79,3613,308,450,1521,5429,131,3243,171,929,5161,507,5790,7686,221,2638,3197,2393,99,2568,4704,341,5079,3572,4160,1927,3409,171,3625,3817,5748,167,2961
201517000,201500000,200000000,Lasam,Mun,6586,3521,4870,164,39,2791,253,309,992,5226,84,6112,97,706,5132,786,5658,7050,109,3467,4556,2885,94,2268,4950,147,3957,3221,4792,1603,3517,50,4637,3110,5240,62,3752
201518000,201500000,200000000,Pamplona,Mun,2966,1861,2116,175,34,1794,160,263,890,2016,54,3605,135,623,3113,433,3794,4533,108,1404,2377,1150,28,1498,2220,75,1911,2120,1782,1106,1611,48,2102,1965,2369,69,1321
201519000,201500000,200000000,Pe?blanca,Mun,4728,3813,3114,188,48,3508,283,334,1354,2967,25,6175,123,786,6956,172,6192,7760,203,2338,3097,1401,46,2439,3750,120,4834,3644,2781,1931,1244,63,3102,3785,5803,68,2447
201520000,201500000,200000000,Piat,Mun,2987,3017,2424,77,12,3010,201,189,1202,1963,65,3651,135,348,3522,333,4068,4646,164,1545,1876,1201,35,1806,2666,202,2383,2558,1927,1413,1191,77,1324,2784,3213,73,1973
201521000,201500000,200000000,Rizal,Mun,2074,1233,1523,137,46,1235,131,299,445,1731,90,1951,106,375,2235,565,2154,2433,108,1352,2124,1129,45,875,1281,72,1903,1741,1056,449,871,41,1125,1272,1404,44,1040
201522000,201500000,200000000,Sanchez-Mira,Mun,3925,2592,3086,109,28,2446,157,245,918,2981,18,4830,91,499,3543,441,5016,5574,93,3937,2116,1309,25,1625,3634,101,3156,2451,3194,1276,2591,26,2498,2753,3475,63,2433
201523000,201500000,200000000,Santa Ana,Mun,8829,2248,2618,132,73,2067,210,305,673,3005,94,4419,147,880,3260,208,3649,4983,84,1381,2447,1099,63,1282,3438,96,2199,1941,2743,938,1311,46,2794,1871,3196,106,2048
201524000,201500000,200000000,Santa Praxedes,Mun,965,361,698,19,3,379,44,53,237,820,4,828,13,193,593,339,786,837,19,636,688,511,10,239,597,18,803,619,709,174,534,11,635,400,558,17,634
201525000,201500000,200000000,Santa Teresita,Mun,2191,1101,1471,108,25,1085,137,194,340,1631,18,2208,74,611,1983,115,1925,2708,57,998,1574,713,28,740,1685,76,2392,1116,1491,495,1453,33,1510,1086,1738,75,1131
201526000,201500000,200000000,Santo Ni?,Mun,3295,2066,2512,150,37,2074,238,246,1023,2285,48,3543,116,429,3281,395,3827,4722,72,1586,2646,1326,76,1446,2497,164,2515,2199,2087,1186,1697,81,1606,2194,3465,119,1786
201527000,201500000,200000000,Solana,Mun,7207,7812,5182,280,51,8764,280,428,2576,4564,35,11825,117,1027,10145,684,11625,13943,143,3124,4324,2351,70,3776,8134,151,7015,5815,4338,3412,2382,121,3553,7405,8517,90,3721
201528000,201500000,200000000,Tuao,Mun,12477,15780,6542,224,52,4550,352,288,1186,12201,57,6659,74,434,5242,411,6669,8596,134,8659,3251,8420,52,2401,14060,84,10701,3310,10136,1768,7928,70,9052,4618,5630,38,10382
201529000,201500000,200000000,Tuguegarao City,City,18168,24950,17479,1081,232,22312,1073,699,10081,12436,384,34265,387,3054,25856,1078,32522,33268,534,7552,7155,5644,156,12489,21851,1201,15183,20675,13790,13533,5101,493,9671,24665,28256,286,12834
501601000,501600000,500000000,Basud,Mun,4012,6589,5994,128,21,4845,270,237,2258,2851,28,9217,110,375,7241,376,6926,8806,65,2046,2008,1112,15,3051,5814,110,2387,4126,3675,7505,882,76,1759,7490,8134,134,3115
501602000,501600000,500000000,Capalonga,Mun,3083,4229,2660,150,28,2864,261,225,2084,2323,23,5879,89,508,3674,394,4940,6000,81,1674,1993,1074,7,2808,3760,117,1939,3238,2446,4491,718,59,1872,3683,4843,128,1827
501603000,501600000,500000000,Daet,Mun,9499,18386,16400,704,40,16026,393,368,6995,6549,66,23738,262,1073,16581,769,19370,21220,159,3014,3791,1975,58,7219,17456,721,5348,11280,8760,18106,2106,521,3603,18293,17789,164,8355
501605000,501600000,500000000,Jose Panganiban,Mun,3428,4966,4302,345,45,4718,310,274,2171,2528,57,7125,112,593,4832,290,5891,7130,129,1634,1907,937,25,2761,5610,265,2262,3930,3415,5093,596,183,1823,4438,5509,137,2422
501606000,501600000,500000000,Labo,Mun,9455,11924,10197,388,81,9512,418,605,4454,6820,194,15594,252,986,9546,955,12595,16131,310,5486,4126,2837,46,5979,12149,315,5572,8179,8209,11223,2296,242,4888,10948,14752,313,6351
501607000,501600000,500000000,Mercedes,Mun,3848,8372,5671,146,29,6990,227,854,8754,2392,37,11003,174,531,8041,241,8911,11523,90,1450,2445,910,43,3939,6086,128,2815,5463,3026,8238,595,90,1421,8760,7991,118,2629
501608000,501600000,500000000,Paracale,Mun,3530,5198,3961,170,35,4834,204,288,2347,3241,38,7416,146,599,5219,272,5646,7869,89,2146,2084,1018,31,2899,5024,200,2309,3674,3093,5539,611,156,1837,5161,5882,160,2179
501604000,501600000,500000000,San Lorenzo Ruiz,Mun,1522,2591,2048,43,15,1958,55,77,1084,947,7,3425,32,153,2302,179,2850,3467,22,776,767,467,5,1324,2224,32,924,1682,1270,2573,316,26,649,2704,2821,35,1075
501609000,501600000,500000000,San Vicente,Mun,1374,2011,1923,43,14,1341,47,63,963,1141,7,2667,43,122,1554,312,2009,2394,9,842,735,573,2,1053,1956,51,1027,1451,1228,2054,486,33,710,2008,2286,21,1055
501610000,501600000,500000000,Santa Elena,Mun,4540,6392,4076,108,31,3509,234,132,3284,3475,33,8001,101,570,4420,867,7387,8481,69,2433,2506,1808,15,4112,6400,112,2986,4790,3734,5382,1221,52,3121,5360,6925,110,2779
501611000,501600000,500000000,Talisay,Mun,2669,4560,4230,85,11,4082,124,179,1860,1774,13,6406,75,232,4697,243,4817,5887,46,1289,1160,664,12,2137,4114,84,1576,3018,2562,4955,477,72,1024,5249,5113,51,2000
501612000,501600000,500000000,Vinzons,Mun,5691,7692,5422,143,32,5840,196,258,2244,2683,32,8942,132,493,5910,355,6870,9034,96,1954,1938,1063,28,3546,6091,200,2686,4733,3360,6877,766,110,1410,7055,8084,95,2611
501701000,501700000,500000000,Baao,Mun,3622,3896,12528,116,16,3235,102,219,806,3225,21,6162,72,325,4287,404,3244,5300,29,1415,1793,1082,11,1266,4402,105,2419,1842,3411,6436,909,57,1792,4218,4403,69,3878
501702000,501700000,500000000,Balatan,Mun,3485,2205,5013,71,29,1756,113,207,752,2675,53,3742,101,575,2822,506,2482,3993,163,2115,2832,1694,28,1027,2597,81,1923,1405,2980,3110,1170,36,2610,2325,2712,71,2921
501703000,501700000,500000000,Bato,Mun,4385,5564,9202,134,29,4650,186,336,788,2894,39,7839,133,842,6476,446,5273,6931,90,1639,2648,1470,34,1382,6314,81,2747,2903,3549,7060,1059,57,1967,5923,5804,171,4587
501704000,501700000,500000000,Bombon,Mun,1674,1886,4050,47,19,1604,54,101,432,1329,13,2837,39,114,1971,141,1387,2395,17,769,973,496,7,543,2500,41,1309,848,1552,3420,596,27,639,1648,2097,26,1639
501705000,501700000,500000000,Buhi,Mun,8638,6868,13623,299,49,5831,256,358,1453,4750,105,11787,215,998,8609,1301,6804,9988,166,4127,5332,3324,30,2499,6553,199,5324,3633,6492,9572,2478,147,4216,7623,6903,854,6637
501706000,501700000,500000000,Bula,Mun,6034,4277,11132,127,40,3713,187,275,879,4126,264,7570,117,589,4395,1291,4102,6250,210,3174,3673,2805,199,1939,4533,369,4442,2406,4972,5898,1886,311,3111,3931,4663,326,4988
501707000,501700000,500000000,Cabusao,Mun,1929,2198,3399,82,88,1701,114,120,423,1528,63,3268,39,299,2445,200,2018,3128,28,814,1380,655,9,665,2489,40,1401,1014,1855,3215,453,21,807,2039,2523,40,1811
501708000,501700000,500000000,Calabanga,Mun,8529,9613,15811,207,65,7475,261,463,2546,6416,108,12027,180,688,8112,816,7664,11907,119,4264,4988,2920,110,3190,9610,185,5988,4448,7610,12406,2218,133,3779,7576,9420,137,7266
501709000,501700000,500000000,Camaligan,Mun,2663,3907,5493,116,12,3159,61,107,901,1915,40,4704,32,255,3112,192,2913,4084,23,1113,1350,627,10,1069,4000,112,1599,1834,2528,4350,497,58,1025,3236,3523,61,2445
501710000,501700000,500000000,Canaman,Mun,3226,4152,7222,178,78,3287,166,163,877,2513,20,5538,59,345,3638,324,3070,4613,39,1516,1677,1282,13,1196,4262,126,2318,2385,2991,5197,796,76,1223,3411,3581,77,3293
501711000,501700000,500000000,Caramoan,Mun,3243,4641,6104,161,37,4197,147,317,1199,2755,135,5423,50,728,4018,210,3940,6363,54,1933,2432,1786,36,2497,3027,134,2424,2335,2574,6337,767,74,1556,3104,4741,141,2218
501716000,501700000,500000000,City of Iriga,City,14156,11120,24636,507,84,10378,300,450,2605,9583,340,18805,332,1443,13823,3079,11347,14873,204,6718,7889,5869,91,4221,11029,333,8855,5731,10779,16424,5027,233,7717,15133,13928,251,12140
501724000,501700000,500000000,City of Naga,City,15968,29029,39013,1552,144,22460,683,752,9056,12994,331,34561,396,1625,21805,1484,22325,27539,233,6006,6935,3638,180,9535,29087,1294,9660,16288,15873,30879,3483,935,6004,20578,26373,251,15778
501712000,501700000,500000000,Del Gallego,Mun,3588,3452,3960,127,58,3199,204,225,805,2012,23,3674,55,434,3492,300,3099,4143,54,1584,2123,1041,12,1184,2606,53,1515,1827,2057,2747,545,43,1247,2750,2568,140,1423
501713000,501700000,500000000,Gainza,Mun,1403,1507,2951,45,5,1067,28,111,370,1418,55,1980,20,182,1144,167,1306,2081,27,632,848,489,23,509,1958,56,1221,688,1395,2329,380,28,631,1664,1607,11,1224
501714000,501700000,500000000,Garchitorena,Mun,1933,1507,2688,62,18,1295,90,154,348,1104,28,2681,47,441,2196,81,1320,3204,41,1047,1851,812,14,697,1367,62,1326,1516,1252,2078,383,15,629,1445,1768,165,1554
501715000,501700000,500000000,Goa,Mun,5098,7018,9955,172,58,5532,285,424,1375,4581,315,8749,91,823,5795,464,6034,8735,99,2952,3333,2274,66,2685,5429,185,3636,2629,4040,8415,946,118,2213,5585,7608,166,3528
501717000,501700000,500000000,Lagonoy,Mun,4890,5536,8572,163,32,3811,199,454,972,3624,84,7410,75,988,6002,401,5634,7542,89,2084,3193,1678,21,1471,5340,145,2964,2282,4245,7697,913,87,2513,3527,5764,108,3879
501718000,501700000,500000000,Libmanan,Mun,9242,9864,18219,204,65,8154,479,379,2096,7010,177,14274,281,567,10693,872,8556,14441,224,4640,5941,3156,60,3073,10460,341,6008,4327,7795,14175,2046,134,4262,9320,11891,128,7450
501719000,501700000,500000000,Lupi,Mun,3952,2903,5827,69,21,2439,145,149,672,3025,22,4207,67,225,3173,674,2588,4502,92,2519,2559,1696,71,1284,3139,73,2744,1630,2970,3594,1033,36,1879,2949,3464,57,2760
501720000,501700000,500000000,Magarao,Mun,2706,4010,7087,111,17,2764,136,196,774,2135,22,5365,43,264,3384,236,2538,3910,35,1211,1546,798,10,938,4662,70,2165,1533,2691,5207,678,73,1129,3017,4217,18,2938
501721000,501700000,500000000,Milaor,Mun,3329,3306,7102,80,154,2991,98,143,843,2350,24,4870,61,271,3112,557,2867,4405,29,1748,2254,1196,10,1106,3682,50,2703,1681,2954,5171,1062,34,1460,3067,3363,54,3016
501722000,501700000,500000000,Minalabac,Mun,7008,4750,11441,78,28,3780,169,240,1028,5896,36,6816,79,387,4598,1633,3901,6731,35,4491,4633,3382,18,1835,5484,61,4908,2571,5944,6359,2928,37,4152,4111,4739,56,5953
501723000,501700000,500000000,Nabua,Mun,8990,7798,17990,204,34,7304,297,499,1484,5586,83,14524,188,641,10392,825,7863,11071,108,4104,4523,2941,66,2922,8776,198,6008,4023,7283,12872,2433,114,3703,10910,9315,174,8318
501725000,501700000,500000000,Ocampo,Mun,4710,4584,8724,99,64,3529,165,277,1230,3278,44,6421,59,300,4369,540,3474,5917,25,2548,2831,1789,18,1462,4524,53,2986,2032,3585,6791,1340,41,2212,4487,4962,70,3623
501726000,501700000,500000000,Pamplona,Mun,3412,3627,6770,86,14,2960,148,152,922,2500,65,5238,47,224,3499,394,3100,4933,81,1745,1984,1210,13,1052,4040,61,2676,1740,2673,5035,865,35,1471,3330,3780,48,2692
501727000,501700000,500000000,Pasacao,Mun,4073,4153,6456,147,15,3229,202,169,1402,2770,28,6281,83,424,4575,290,4091,7493,49,1793,2708,1117,22,1833,4644,72,3071,3625,3518,5669,646,50,2068,4030,5331,113,3021
501728000,501700000,500000000,Pili,Mun,7587,9317,17346,189,29,7907,211,293,1796,5377,30,14266,135,554,9551,1020,6823,10985,47,3396,3629,2322,20,2728,9292,193,4828,4449,6424,13860,2168,145,3381,9413,9388,107,7565
501729000,501700000,500000000,Presentacion,Mun,1280,2163,3317,62,31,2150,113,253,685,1769,28,3350,21,48,2020,244,2266,3296,52,1053,1476,940,12,1161,1711,30,1655,1020,1400,3027,377,22,821,1932,2451,48,1436
501730000,501700000,500000000,Ragay,Mun,6748,5297,8483,106,26,3969,221,250,1328,4939,73,8535,102,508,7058,780,5411,8383,108,3620,4098,2802,61,2079,5584,206,3444,2972,5717,5390,1486,71,3908,4931,6534,94,4535
501731000,501700000,500000000,Sag?y,Mun,2627,2926,5082,75,23,2565,64,175,607,2242,63,4058,61,485,2707,191,2663,5146,50,1512,1919,1414,11,1402,2144,51,2051,1232,1850,4273,607,47,1267,2319,3288,73,1765
501732000,501700000,500000000,San Fernando,Mun,2329,3644,5758,56,7,3056,94,95,1020,1644,15,5076,59,195,3910,153,3258,5061,19,965,1398,682,20,1411,3608,44,1492,1868,1894,5691,372,34,898,4424,3846,67,2093
501733000,501700000,500000000,San Jose,Mun,4282,4932,8361,127,30,4194,233,234,1457,4175,154,7230,107,959,4927,293,4487,6896,62,2313,2786,2005,12,2107,4871,79,3309,2540,3425,6673,877,53,2014,4005,5382,109,3247
501734000,501700000,500000000,Sipocot,Mun,6229,6042,10648,145,38,5654,218,266,1261,4432,31,9245,98,405,7201,465,6132,9224,54,2950,3237,2098,32,2112,6720,135,3637,3170,5116,8186,1204,93,2644,6271,7154,83,4589
501735000,501700000,500000000,Siruma,Mun,1587,1835,2789,32,13,1365,51,95,264,1845,9,2296,25,271,1332,275,1816,2612,30,932,1389,1081,18,922,1220,31,1260,592,1213,1970,518,23,1100,1200,1950,35,1211
501736000,501700000,500000000,Tigaon,Mun,3891,6353,8149,143,39,5328,228,309,1162,3968,74,7380,95,1010,4655,414,5950,9112,61,2734,2648,2186,23,3226,3794,122,3186,2427,2922,6932,739,87,1801,4439,6543,116,3371
501737000,501700000,500000000,Tinambac,Mun,3375,6054,8715,83,55,4791,174,280,700,4212,82,6912,56,442,3201,320,4960,7612,56,2610,2432,2250,9,3353,4104,87,3855,1663,2655,7141,839,60,1417,3043,5820,41,2732
1001801000,1001800000,1000000000,Catarman,Mun,2839,2981,2128,701,32,2267,102,145,804,2380,18,3327,69,324,2484,1092,2938,3628,98,2084,2687,1397,16,1750,2483,597,3379,3312,2206,1163,1338,426,1572,2711,2037,76,4722
1001802000,1001800000,1000000000,Guinsiliban,Mun,922,1044,694,43,11,853,39,65,280,753,7,1321,32,181,938,360,1141,1300,33,669,1013,448,4,631,1032,41,1305,1218,687,520,332,32,473,1036,856,27,1370
1001803000,1001800000,1000000000,Mahinog,Mun,2325,2320,1808,75,29,1760,113,188,619,1773,20,2665,63,279,1718,759,2261,2895,51,1857,2405,1063,14,1455,2319,71,3119,2888,1799,1086,789,22,1154,1988,2002,72,3765
1001804000,1001800000,1000000000,Mambajao,Mun,7280,5792,5969,225,53,4128,221,389,1658,5970,109,6089,157,742,4108,3119,5545,6540,167,5173,5785,4211,97,3311,5258,295,6764,5990,6025,2546,3593,187,4593,4138,4279,77,8378
1001805000,1001800000,1000000000,Sagay,Mun,1843,1449,1286,72,26,1081,89,65,423,1437,48,1682,72,223,1148,924,1443,1633,92,1354,1689,1016,23,866,1256,134,2001,1795,1494,678,889,16,1130,1241,1143,17,2383
601914000,601900000,600000000,City of Roxas,City,21390,33438,14423,1634,134,18819,724,1342,12336,18406,72,36587,618,2391,20834,1166,22050,33527,352,8119,10372,3596,55,17169,32864,1579,13904,23643,15662,20196,7201,1108,3855,20313,21616,246,22038
601901000,601900000,600000000,Cuartero,Mun,4426,3654,3373,130,36,2972,211,460,1441,3802,24,4555,99,382,2320,522,3037,4313,99,2491,2980,1283,26,1628,4245,100,3566,4075,3222,1599,1420,93,1512,2710,3746,91,4879
601902000,601900000,600000000,Dao,Mun,2505,4351,5139,165,25,3054,144,410,1321,5738,14,5387,107,365,2798,132,3531,7907,46,1529,2224,729,8,1833,8123,146,5753,2784,1541,1932,1596,100,696,3230,4743,32,5437
601903000,601900000,600000000,Dumalag,Mun,5690,4278,5070,193,45,2778,152,482,1581,5300,25,4397,99,459,2220,1458,3222,5038,44,3823,4228,2703,11,2244,4668,155,5148,2634,4802,1845,2465,121,2848,2664,3949,57,5109
601904000,601900000,600000000,Dumarao,Mun,6859,6019,5235,330,51,3339,213,700,2449,6718,28,6394,116,571,3482,481,4692,6497,113,4596,4512,2248,38,2668,6823,399,5580,3633,5010,2889,1209,204,2150,3555,7377,5,5988
601905000,601900000,600000000,Ivisan,Mun,3945,5652,2925,143,29,4014,143,383,2232,3027,18,6928,117,549,3775,128,5239,5947,52,2023,3437,747,14,3183,5714,102,3528,3299,3013,2514,486,58,734,4273,5334,33,3816
601906000,601900000,600000000,Jamindan,Mun,4745,5211,3417,161,45,2888,174,460,1366,3970,35,5415,127,480,3022,188,4794,5021,58,1805,2729,1495,35,2716,5470,86,2926,2954,3193,1800,726,56,1476,3742,5134,70,3517
601907000,601900000,600000000,Ma-Ayon,Mun,4601,6098,2163,200,35,3302,140,580,1363,4031,14,5883,122,561,3038,134,4876,6300,164,1670,2566,834,14,3384,6484,175,3102,3902,3417,2060,1957,101,764,3012,4125,42,3618
601908000,601900000,600000000,Mambusao,Mun,7199,8191,5644,339,62,5587,265,708,2367,5988,27,9579,165,747,4973,423,7674,8742,86,3102,5051,2282,17,4338,8664,247,4821,5750,5456,3082,1745,122,2905,5760,7773,62,5919
