adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,alcantara_samson,angara_sonny,aquino_bam,belgica_greco,binay_nancy,casino_teddy,cayetano_alanpeter,cojuangco_tingting,david_lito,delosreyes_jc,ejercito_jv,enrile_juanponce_jr,escudero_chiz,falcone_bal,gordon_dick,hagedorn_ed,honasan_gringo,hontiveros_risa,legarda_loren,llasos_marwil,maceda_manong_ernie,madrigal_jamby,magsaysay_mitos,magsaysay_ramon_jr,montano_mon,penson_ricardo,pimentel_koko,poe_grace,seneres_christian,trillanes_antonio_iv,villanueva_eddie,villar_cynthia,zubiri_migz
1400112000,1400100000,1400000000,Langiden,Mun,106,582,354,32,831,93,739,113,28,17,719,528,754,24,395,166,631,362,907,16,171,322,164,371,24,24,513,824,14,597,195,515,411
1400113000,1400100000,1400000000,Licuan-Baay,Mun,13,113,63,10,163,14,145,37,8,4,128,113,126,7,70,38,157,57,149,3,37,67,29,75,17,7,100,168,2,124,29,97,83
1400114000,1400100000,1400000000,Luba,Mun,63,230,111,23,292,41,248,44,36,11,194,214,194,17,126,65,180,92,270,7,66,82,97,151,38,27,192,225,10,125,125,187,145
1400115000,1400100000,1400000000,Malibcong,Mun,53,233,164,31,370,115,259,63,66,50,221,221,257,27,138,44,316,95,291,28,87,124,88,164,45,28,210,250,16,227,110,239,153
1400117000,1400100000,1400000000,Pe?rrubia,Mun,80,580,325,43,713,86,602,87,49,22,569,465,590,23,286,162,569,261,715,20,126,306,167,261,42,34,428,667,13,440,206,411,272
1400118000,1400100000,1400000000,Pidigan,Mun,416,2244,1265,158,2700,382,2620,346,168,82,2054,2022,2362,103,1270,651,2039,1188,2986,53,607,862,590,1176,142,143,1749,2862,68,1939,612,2005,1234
1400119000,1400100000,1400000000,Pilar,Mun,345,1969,907,120,2322,232,2457,243,79,65,1557,1998,2024,60,970,419,1782,826,2335,36,578,658,565,993,85,94,1486,2346,45,1938,628,2121,1055
1400120000,1400100000,1400000000,Sallapadan,Mun,158,896,445,63,1079,135,857,155,71,35,734,855,660,53,508,250,896,273,933,21,245,318,250,489,83,52,670,918,23,627,254,659,443
1400121000,1400100000,1400000000,San Isidro,Mun,104,340,208,25,465,64,387,69,23,21,336,342,381,35,210,89,317,151,473,7,101,112,104,182,37,18,286,437,19,217,166,312,178
1400122000,1400100000,1400000000,San Juan,Mun,245,1531,880,95,2198,175,1620,170,48,37,1439,2176,1677,44,924,341,2286,540,2269,35,405,460,313,665,72,65,1013,1920,34,1333,433,1340,657
1400123000,1400100000,1400000000,San Quintin,Mun,100,934,545,73,1043,187,1033,118,31,38,829,1677,926,17,573,360,907,479,1224,8,340,284,244,432,38,45,646,1293,23,755,294,742,435
1400124000,1400100000,1400000000,Tayum,Mun,377,2291,1686,143,2674,399,2571,356,133,103,2255,2173,2573,105,1590,742,2399,1167,3520,66,651,871,742,1512,138,130,1942,3033,77,1995,607,1884,1303
1400125000,1400100000,1400000000,Tineg,Mun,88,299,283,14,641,78,392,58,24,16,304,314,337,21,136,79,352,130,461,20,70,114,156,170,49,17,283,361,17,294,183,271,151
1400126000,1400100000,1400000000,Tubo,Mun,49,394,198,30,624,134,407,86,45,26,300,417,360,20,194,125,387,149,433,6,97,192,128,266,40,29,382,362,23,295,224,373,235
1400127000,1400100000,1400000000,Villaviciosa,Mun,114,1003,400,75,1322,99,1143,436,50,41,794,1051,964,32,444,229,721,329,1214,12,207,294,447,568,58,49,792,1028,29,634,298,1014,726
1600201000,1600200000,1600000000,Buenavista,Mun,851,8311,11424,594,10211,3511,8973,1023,771,493,6876,6771,9056,389,4895,1961,6010,8812,10591,204,1083,3536,3888,6242,515,491,8331,12122,360,7008,4300,7942,10083
1600204000,1600200000,1600000000,Carmen,Mun,276,1382,2239,168,2177,800,2017,358,113,110,1444,1158,1866,112,808,349,997,1401,2125,71,251,595,1007,1259,126,167,1813,2524,83,1011,1143,1250,2165
1630400000,1630400000,1600000000,City of Butuan,City,4950,58285,63808,3606,55161,20303,58719,6957,3199,3590,41392,43736,51729,2635,38740,15779,37376,36794,56520,2587,8987,23312,19760,44527,3433,3487,58792,68082,3927,49790,23718,41056,59829
1600203000,1600200000,1600000000,City of Cabadbaran,City,508,5279,10163,441,10315,1356,5368,2458,405,384,6625,7128,7879,226,2862,1231,3353,5774,8040,216,778,2164,5322,6900,291,320,8076,6951,273,4146,2943,6761,8941
1600205000,1600200000,1600000000,Jabonga,Mun,65,377,517,30,643,285,381,72,21,36,391,321,502,12,196,97,228,419,443,23,86,270,285,319,34,37,501,555,30,265,134,556,632
1600206000,1600200000,1600000000,Kitcharao,Mun,256,1763,3589,182,3547,578,2073,234,139,128,2666,1372,2900,100,1196,412,1338,2300,3237,67,267,790,1897,1361,149,127,2910,2577,96,1518,1032,3337,2864
1600207000,1600200000,1600000000,Las Nieves,Mun,113,988,1146,97,1255,354,1054,129,66,120,782,825,1070,51,730,262,833,661,1194,81,191,351,576,754,101,86,1190,1362,101,940,435,991,1277
1600208000,1600200000,1600000000,Magallanes,Mun,232,1955,2363,169,2548,357,2159,235,152,88,1358,3017,1813,75,1218,402,1533,1119,2041,68,280,694,527,1114,130,137,1619,2622,61,2061,835,2504,2091
1600209000,1600200000,1600000000,Nasipit,Mun,333,4909,6186,332,5578,2259,5779,798,302,277,4070,4304,5892,219,3647,1285,3817,4294,5774,170,727,2274,2236,4117,320,318,5718,7149,304,4466,2551,5861,6972
1600212000,1600200000,1600000000,Remedios T. Romualdez,Mun,263,2131,2578,176,3731,577,2436,310,147,131,1596,2176,2767,116,1172,609,1450,4048,2488,64,634,884,880,2183,181,114,3598,2965,110,1941,1323,3488,3679
1600210000,1600200000,1600000000,Santiago,Mun,372,2014,2495,208,2611,555,2186,430,168,122,1625,1638,1886,125,1163,431,1426,1123,2251,84,342,818,708,1339,175,157,1884,2812,84,1552,976,1689,2280
1600211000,1600200000,1600000000,Tubay,Mun,127,1557,1823,68,1429,406,1644,211,77,96,832,890,1688,60,595,294,851,1337,1777,54,159,883,434,1094,85,60,1519,2287,41,1344,586,1404,1366
1600302000,1600300000,1600000000,Bunawan,Mun,545,4972,5867,349,7775,1785,5168,945,312,305,5583,4681,4638,230,4328,1152,4833,3863,5942,181,1379,1762,2282,3010,358,316,3866,6410,285,4387,2198,4311,4741
1600301000,1600300000,1600000000,City of Bayugan,City,1403,18683,16310,770,15586,6903,15502,1787,659,665,13443,13902,14103,675,11024,3526,12769,8600,16032,428,2574,6397,5024,9673,863,763,14267,18720,539,13333,4798,13340,17162
1600303000,1600300000,1600000000,Esperanza,Mun,602,4613,5389,361,5809,1829,4729,1056,345,383,3711,4146,4401,302,3161,1131,3753,2787,5610,185,993,2162,2000,3719,524,319,5019,5928,268,3842,2513,4056,6552
1600304000,1600300000,1600000000,La Paz,Mun,298,2100,2012,192,3451,888,2008,362,135,197,1666,2324,2094,127,1447,537,1566,1091,2491,104,468,756,965,1396,345,199,1981,2929,133,1696,1854,3350,2465
1600305000,1600300000,1600000000,Loreto,Mun,265,2329,2275,155,3611,534,2407,318,204,354,2006,2078,2299,168,1688,547,2108,1184,2818,134,473,904,1104,1741,371,210,2287,3208,158,2282,1439,2072,2599
1600306000,1600300000,1600000000,Prosperidad,Mun,923,10034,12121,832,13306,3307,9979,1463,655,839,8866,8894,9734,610,6855,2601,8049,6436,10649,495,2126,4423,4234,7763,850,538,10131,12506,624,7961,5944,8847,11424
1600307000,1600300000,1600000000,Rosario,Mun,673,5607,5636,412,8023,2383,6215,841,394,475,5533,4538,5942,360,3731,1535,4884,3552,6727,184,1224,2365,2131,3765,532,371,5539,8110,183,4795,2443,4635,5308
1600308000,1600300000,1600000000,San Francisco,Mun,982,11527,11527,840,17664,4000,10645,2061,612,744,11358,9322,10908,436,9030,3237,11198,6842,12368,341,3179,3807,4709,6777,672,562,11388,13993,497,8880,6402,9621,14040
1600309000,1600300000,1600000000,San Luis,Mun,77,980,1146,80,1096,771,963,128,43,43,739,1063,985,49,602,232,706,647,1075,34,165,385,318,667,59,54,1038,1146,43,691,583,892,1070
1600310000,1600300000,1600000000,Santa Josefa,Mun,81,870,1092,55,1288,277,919,182,55,49,965,715,1032,42,690,262,896,631,1008,41,220,376,398,774,55,47,925,1145,67,828,330,775,967
1600314000,1600300000,1600000000,Sibagat,Mun,473,3648,4192,350,4167,1006,3440,595,294,375,2558,2977,3099,259,2076,766,2249,1995,4034,170,687,1660,1443,2606,423,286,3400,4005,227,2469,1746,3157,3776
1600311000,1600300000,1600000000,Talacogon,Mun,443,4237,5471,339,5460,1850,4327,538,321,292,3382,4699,4373,242,2671,1171,3935,2680,5156,244,924,2183,1735,3400,497,390,4429,5813,202,3867,2244,3838,4442
1600312000,1600300000,1600000000,Trento,Mun,991,7914,8238,627,12923,2593,7949,1355,441,578,7644,6540,7802,497,5694,2084,7304,5082,8682,295,1871,3270,3235,5224,621,504,7544,9614,395,6709,3359,6502,7634
1600313000,1600300000,1600000000,Veruela,Mun,702,5432,6689,413,8553,1095,4649,789,297,504,5974,5151,4463,257,5807,1251,5478,3678,6542,329,1119,1517,2388,2971,413,281,5006,6492,812,4228,1848,5252,5653
600401000,600400000,600000000,Altavas,Mun,406,4666,4709,259,4594,2336,5158,556,505,376,3301,2784,5516,181,2808,2382,3273,2977,5468,123,677,1668,1671,3244,307,289,4017,5790,160,4549,1435,3879,3047
600402000,600400000,600000000,Balete,Mun,198,3047,2748,116,1658,688,3143,252,90,172,1092,892,3102,58,805,908,1131,1117,1878,40,248,484,491,916,83,239,2581,1944,38,2782,644,2945,889
600403000,600400000,600000000,Banga,Mun,157,3093,2772,168,3935,1892,3335,925,135,183,2770,1817,3564,93,2373,2011,2482,2458,3792,81,921,1031,1536,2046,142,357,2540,3843,107,2819,1117,2579,2310
600404000,600400000,600000000,Batan,Mun,484,5765,6020,313,5589,2336,6589,630,367,381,3769,2603,6955,212,2523,2760,3320,4405,7070,133,754,1885,1798,3995,272,310,5095,7209,151,4710,1397,4896,2989
600405000,600400000,600000000,Buruanga,Mun,16,301,318,21,404,182,348,109,24,18,286,158,325,11,202,244,306,226,390,9,122,112,142,234,23,18,262,421,11,256,116,243,210
600406000,600400000,600000000,Ibajay,Mun,533,8818,9825,450,8997,4832,9626,1700,530,542,7781,4431,10358,259,4516,4046,5591,8345,11741,249,1685,2910,3212,6485,480,753,8232,11152,399,7811,2348,8700,5181
600407000,600400000,600000000,Kalibo,Mun,710,14698,12756,698,12519,9499,16044,2300,686,896,9649,7790,16281,376,9903,8310,9266,12568,16920,334,2302,4541,3774,9689,608,787,13022,17612,486,13233,4735,11503,8029
600408000,600400000,600000000,Lezo,Mun,154,2663,2464,113,2787,1824,2806,734,143,177,2180,1183,3034,104,1823,1369,1949,2196,3306,98,753,932,1150,1896,98,137,2319,3325,69,2291,884,2143,1701
600409000,600400000,600000000,Libacao,Mun,84,827,866,49,1084,297,927,200,43,152,561,468,837,28,431,496,466,629,1163,157,248,366,415,659,186,191,762,1186,31,669,425,770,544
600410000,600400000,600000000,Madalag,Mun,243,2344,2457,132,3351,1021,2560,757,154,292,1956,1419,2708,90,1598,1251,1805,1810,3061,105,592,856,1130,1639,159,213,1941,2984,82,1752,1053,1979,1794
600411000,600400000,600000000,Makato,Mun,346,4955,4790,268,6528,3466,5448,1412,310,315,4468,2981,5970,195,3839,3033,4023,4056,7213,144,1430,1839,2414,3538,281,601,4500,6412,183,3975,1682,4282,3867
