adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level
401003000,401000000,400000000,Balayan,Mun
401004000,401000000,400000000,Balete,Mun
401005000,401000000,400000000,Batangas City,City
401006000,401000000,400000000,Bauan,Mun
401008000,401000000,400000000,Calatagan,Mun
401014000,401000000,400000000,City of Lipa,City
401028000,401000000,400000000,City of Sto. Tomas,City
401031000,401000000,400000000,City of Tanauan,City
401009000,401000000,400000000,Cuenca,Mun
401010000,401000000,400000000,Ibaan,Mun
401011000,401000000,400000000,Laurel,Mun
401012000,401000000,400000000,Lemery,Mun
401013000,401000000,400000000,Lian,Mun
401015000,401000000,400000000,Lobo,Mun
401016000,401000000,400000000,Mabini,Mun
401017000,401000000,400000000,Malvar,Mun
401018000,401000000,400000000,Mataasnakahoy,Mun
401019000,401000000,400000000,Nasugbu,Mun
401020000,401000000,400000000,Padre Garcia,Mun
401021000,401000000,400000000,Rosario,Mun
401022000,401000000,400000000,San Jose,Mun
401023000,401000000,400000000,San Juan,Mun
401024000,401000000,400000000,San Luis,Mun
401025000,401000000,400000000,San Nicolas,Mun
401026000,401000000,400000000,San Pascual,Mun
401027000,401000000,400000000,Santa Teresita,Mun
401029000,401000000,400000000,Taal,Mun
401030000,401000000,400000000,Talisay,Mun
401032000,401000000,400000000,Taysan,Mun
401033000,401000000,400000000,Tingloy,Mun
401034000,401000000,400000000,Tuy,Mun
1401101000,1401100000,1400000000,Atok,Mun
1401103000,1401100000,1400000000,Bakun,Mun
1401104000,1401100000,1400000000,Bokod,Mun
1401105000,1401100000,1400000000,Buguias,Mun
1430300000,1430300000,1400000000,City of Baguio,City
1401106000,1401100000,1400000000,Itogon,Mun
1401107000,1401100000,1400000000,Kabayan,Mun
1401108000,1401100000,1400000000,Kapangan,Mun
1401109000,1401100000,1400000000,Kibungan,Mun
1401110000,1401100000,1400000000,La Trinidad,Mun
1401111000,1401100000,1400000000,Mankayan,Mun
1401112000,1401100000,1400000000,Sablan,Mun
1401113000,1401100000,1400000000,Tuba,Mun
1401114000,1401100000,1400000000,Tublay,Mun
807801000,807800000,800000000,Almeria,Mun
807802000,807800000,800000000,Biliran,Mun
807803000,807800000,800000000,Cabucgayan,Mun
807804000,807800000,800000000,Caibiran,Mun
807805000,807800000,800000000,Culaba,Mun
807806000,807800000,800000000,Kawayan,Mun
807807000,807800000,800000000,Maripipi,Mun
807808000,807800000,800000000,Naval,Mun
701201000,701200000,700000000,Alburquerque,Mun
701202000,701200000,700000000,Alicia,Mun
701203000,701200000,700000000,Anda,Mun
701204000,701200000,700000000,Antequera,Mun
701205000,701200000,700000000,Baclayon,Mun
701206000,701200000,700000000,Balilihan,Mun
701207000,701200000,700000000,Batuan,Mun
701248000,701200000,700000000,Bien Unido,Mun
701208000,701200000,700000000,Bilar,Mun
701209000,701200000,700000000,Buenavista,Mun
701210000,701200000,700000000,Calape,Mun
701211000,701200000,700000000,Candijay,Mun
701212000,701200000,700000000,Carmen,Mun
701213000,701200000,700000000,Catigbian,Mun
701242000,701200000,700000000,City of Tagbilaran,City
701214000,701200000,700000000,Clarin,Mun
701215000,701200000,700000000,Corella,Mun
701216000,701200000,700000000,Cortes,Mun
701217000,701200000,700000000,Dagohoy,Mun
701218000,701200000,700000000,Danao,Mun
701219000,701200000,700000000,Dauis,Mun
701220000,701200000,700000000,Dimiao,Mun
701221000,701200000,700000000,Duero,Mun
701222000,701200000,700000000,Garcia Hernandez,Mun
701226000,701200000,700000000,Getafe,Mun
701223000,701200000,700000000,Guindulman,Mun
701224000,701200000,700000000,Inabanga,Mun
701225000,701200000,700000000,Jagna,Mun
701227000,701200000,700000000,Lila,Mun
701228000,701200000,700000000,Loay,Mun
701229000,701200000,700000000,Loboc,Mun
701230000,701200000,700000000,Loon,Mun
701231000,701200000,700000000,Mabini,Mun
701232000,701200000,700000000,Maribojoc,Mun
701233000,701200000,700000000,Panglao,Mun
701234000,701200000,700000000,Pilar,Mun
701235000,701200000,700000000,President Carlos P. Garcia,Mun
701236000,701200000,700000000,Sagbayan,Mun
701237000,701200000,700000000,San Isidro,Mun
701238000,701200000,700000000,San Miguel,Mun
701239000,701200000,700000000,Sevilla,Mun
701240000,701200000,700000000,Sierra Bullones,Mun
701241000,701200000,700000000,Sikatuna,Mun
701243000,701200000,700000000,Talibon,Mun
701245000,701200000,700000000,Tubigon,Mun
701246000,701200000,700000000,Ubay,Mun
701247000,701200000,700000000,Valencia,Mun
1001301000,1001300000,1000000000,Baungon,Mun
1001322000,1001300000,1000000000,Cabanglasan,Mun
1001312000,1001300000,1000000000,City of Malaybalay,City
1001321000,1001300000,1000000000,City of Valencia,City
1001302000,1001300000,1000000000,Damulog,Mun
1001303000,1001300000,1000000000,Dangcagan,Mun
1001304000,1001300000,1000000000,Don Carlos,Mun
1001305000,1001300000,1000000000,Impasug-ong,Mun
1001306000,1001300000,1000000000,Kadingilan,Mun
1001307000,1001300000,1000000000,Kalilangan,Mun
1001308000,1001300000,1000000000,Kibawe,Mun
1001309000,1001300000,1000000000,Kitaotao,Mun
1001310000,1001300000,1000000000,Lantapan,Mun
1001311000,1001300000,1000000000,Libona,Mun
1001313000,1001300000,1000000000,Malitbog,Mun
1001314000,1001300000,1000000000,Manolo Fortich,Mun
1001315000,1001300000,1000000000,Maramag,Mun
1001316000,1001300000,1000000000,Pangantucan,Mun
1001317000,1001300000,1000000000,Quezon,Mun
1001318000,1001300000,1000000000,San Fernando,Mun
1001319000,1001300000,1000000000,Sumilao,Mun
1001320000,1001300000,1000000000,Talakag,Mun
301401000,301400000,300000000,Angat,Mun
301402000,301400000,300000000,Balagtas,Mun
301404000,301400000,300000000,Bocaue,Mun
301405000,301400000,300000000,Bulacan,Mun
301406000,301400000,300000000,Bustos,Mun
301407000,301400000,300000000,Calumpit,Mun
301410000,301400000,300000000,City of Malolos,City
301420000,301400000,300000000,City of San Jose Del Monte,City
301424000,301400000,300000000,Do? Remedios Trinidad,Mun
301408000,301400000,300000000,Guiguinto,Mun
301411000,301400000,300000000,Marilao,Mun
301414000,301400000,300000000,Obando,Mun
301415000,301400000,300000000,Pandi,Mun
301416000,301400000,300000000,Paombong,Mun
301417000,301400000,300000000,Plaridel,Mun
301418000,301400000,300000000,Pulilan,Mun
301419000,301400000,300000000,San Ildefonso,Mun
301421000,301400000,300000000,San Miguel,Mun
301422000,301400000,300000000,San Rafael,Mun
301423000,301400000,300000000,Santa Maria,Mun
201501000,201500000,200000000,Abulug,Mun
201502000,201500000,200000000,Alcala,Mun
201503000,201500000,200000000,Allacapan,Mun
201504000,201500000,200000000,Amulung,Mun
201505000,201500000,200000000,Aparri,Mun
201506000,201500000,200000000,Baggao,Mun
201507000,201500000,200000000,Ballesteros,Mun
201508000,201500000,200000000,Buguey,Mun
201510000,201500000,200000000,Camalaniugan,Mun
201511000,201500000,200000000,Claveria,Mun
201512000,201500000,200000000,Enrile,Mun
201513000,201500000,200000000,Gattaran,Mun
201514000,201500000,200000000,Gonzaga,Mun
201515000,201500000,200000000,Iguig,Mun
201516000,201500000,200000000,Lal-Lo,Mun
201517000,201500000,200000000,Lasam,Mun
201518000,201500000,200000000,Pamplona,Mun
201519000,201500000,200000000,Pe?blanca,Mun
201520000,201500000,200000000,Piat,Mun
201521000,201500000,200000000,Rizal,Mun
201522000,201500000,200000000,Sanchez-Mira,Mun
201523000,201500000,200000000,Santa Ana,Mun
201524000,201500000,200000000,Santa Praxedes,Mun
201525000,201500000,200000000,Santa Teresita,Mun
201526000,201500000,200000000,Santo Ni?,Mun
201527000,201500000,200000000,Solana,Mun
201528000,201500000,200000000,Tuao,Mun
201529000,201500000,200000000,Tuguegarao City,City
501601000,501600000,500000000,Basud,Mun
501602000,501600000,500000000,Capalonga,Mun
501603000,501600000,500000000,Daet,Mun
501605000,501600000,500000000,Jose Panganiban,Mun
501606000,501600000,500000000,Labo,Mun
501607000,501600000,500000000,Mercedes,Mun
501608000,501600000,500000000,Paracale,Mun
501604000,501600000,500000000,San Lorenzo Ruiz,Mun
501609000,501600000,500000000,San Vicente,Mun
501610000,501600000,500000000,Santa Elena,Mun
501611000,501600000,500000000,Talisay,Mun
501612000,501600000,500000000,Vinzons,Mun
501701000,501700000,500000000,Baao,Mun
501702000,501700000,500000000,Balatan,Mun
501703000,501700000,500000000,Bato,Mun
501704000,501700000,500000000,Bombon,Mun
501705000,501700000,500000000,Buhi,Mun
501706000,501700000,500000000,Bula,Mun
501707000,501700000,500000000,Cabusao,Mun
